npi,specialty_code
1003000225,16
1003000563,10
1003000563,41
1003000639,33
1003001017,7
1003001157,40
1003001363,5
1003001645,77
1003002049,67
1003002221,10
1003002221,41
1003002718,30
1003004169,66
1003005117,14
1003006149,66
1003006198,13
1003007287,41
1003008103,1
1003008590,41
1003008624,41
1003010059,40
1003010174,45
1003010950,41
1003011677,22
1003011941,32
1003012444,30
1003012733,40
1003012733,41
1003012907,8
1003012931,41
1003013020,30
1003013335,5
1003013426,16
1003013442,5
1003013715,25
1003014523,16
1003014903,40
1003015124,8
1003015215,38
1003015462,66
1003015652,2
1003015785,18
1003016023,41
1003016262,1
1003016643,41
1003017666,6
1003017906,1
1003017971,20
1003018755,10
1003018755,41
1003019001,16
1003019654,42
1003019936,25
1003020413,68
1003020413,78
1003021791,30
1003021882,2
1003022609,27
1003022682,41
1003022898,1
1003023086,40
1003024191,30
1003024977,40
1003025743,6
1003027376,30
1003027558,41
1003028416,40
1003028580,18
1003029372,34
1003029646,34
1003033374,14
1003033580,16
1003033754,5
1003034018,16
1003034562,40
1003035841,17
1003036187,8
1003037508,5
1003038860,30
1003039538,66
1003040270,25
1003040775,1
1003041054,13
1003041054,36
1003041492,40
1003041559,36
1003041567,7
1003041567,40
1003042342,41
1003042474,66
1003042987,16
1003043043,41
1003043340,7
1003043712,41
1003043969,36
1003044728,8
1003044876,4
1003044892,66
1003045220,8
1003045386,2
1003045600,40
1003045600,41
1003045683,20
1003045733,36
1003045915,41
1003046004,41
1003046095,20
1003047408,40
1003047531,5
1003048026,41
1003048745,6
1003050667,8
1003051780,34
1003052739,41
1003052739,45
1003053307,36
1003053398,41
1003053851,41
1003053950,41
1003055401,30
1003056433,30
1003056516,18
1003056995,5
1003057274,30
1003057316,22
1003058207,8
1003058546,34
1003058637,5
1003058678,41
1003058827,5
1003058991,41
1003059379,2
1003059395,30
1003060211,2
1003060492,7
1003062530,29
1003062613,16
1003063140,41
1003063488,8
1003063991,13
1003064353,2
1003064353,4
1003064791,5
1003065376,5
1003067331,40
1003067745,4
1003068008,41
1003068073,5
1003068321,41
1003068420,8
1003070012,41
1003070061,22
1003070541,16
1003070640,8
1003070814,41
1003072026,22
1003072620,8
1003072786,18
1003072885,30
1003073776,29
1003073826,77
1003073883,34
1003073933,5
1003074279,41
1003074345,8
1003074469,3
1003074469,40
1003074550,2
1003075037,13
1003075128,41
1003075334,36
1003076365,20
1003076621,5
1003077157,5
1003077256,30
1003077587,4
1003077769,5
1003078015,30
1003078338,24
1003078601,40
1003078981,25
1003079062,17
1003079112,30
1003080052,3
1003080243,41
1003080557,13
1003081209,41
1003081209,83
1003085192,13
1003085218,66
1003085481,78
1003085911,40
1003087206,40
