npi,specialty_code
1003000639,33
1003011677,22
1003012931,41
1003014523,16
1003021882,2
1003027558,41
1003029646,34
1003033754,5
1003034562,40
1003035841,17
1003037508,5
1003041492,40
1003043712,41
1003043969,36
1003044876,4
1003045600,40
1003045600,41
1003057274,30
1003058827,5
1003060211,2
1003062530,29
1003067331,40
1003068073,5
1003073826,77
1003075037,13
1003075334,36
1003077157,5
1003078981,25
1003085481,78
1003090085,10
1003090085,41
1003097692,16
1003104548,1
1003106584,8
1003107756,22
1003117557,41
1003117557,77
1003123670,8
1003128323,5
1003130105,13
1003131053,24
1003133422,41
1003134560,8
1003153214,41
1003158577,2
1003171570,18
1003172347,40
1003172529,41
1003173949,41
1003174053,38
1003174061,14
1003174913,1
1003178088,5
1003182007,13
1003187808,13
1003195686,6
1003195686,41
1003201922,66
1003203233,7
1003229329,22
1003233073,66
1003234063,41
1003234691,40
1003235441,40
1003236688,41
1003253287,5
1003278086,3
1003278177,41
1003279449,40
1003293093,18
1003298019,34
1003348723,9
1003348723,15
1003800806,34
1003802869,5
1003809989,13
1003818501,1
1003824053,22
1003827056,18
1003829326,41
1003836248,2
1003836602,13
1003836610,29
1003837642,41
1003837840,17
1003839002,8
1003839002,41
1003839846,20
1003841164,1
1003841800,91
1003844432,1
1003845785,22
1003846189,40
1003846254,41
1003861576,18
1003865197,22
1003865866,30
1003868746,40
1003871914,10
1003871914,41
1003889247,1
1003889247,18
1003890872,66
1003891334,1
1003907320,40
1003914227,6
1003914227,41
1003916016,16
1003924168,41
1003928896,4
1003928896,24
1003929712,5
1003952342,41
1003952797,8
1003953530,18
1003954421,30
1003968801,16
1003971888,6
1003975673,6
1003976325,5
1003977372,30
1003983982,13
1003983982,41
1003983990,8
1003987058,40
1003987074,5
1003987918,41
1003990227,1
1003990227,40
1003994682,41
1003994849,1
1003994872,41
1003994872,83
1003995010,36
1003996844,13
1013013317,40
1013014356,5
1013024959,36
1013026079,29
1013029065,6
1013029065,41
1013039577,8
1013041078,40
1013041078,41
1013043678,40
1013060888,36
1013065994,40
1013069426,5
1013072073,40
1013076611,66
1013076777,1
1013078229,83
1013084011,18
1013085018,5
1013088905,41
1013088939,41
1013088996,41
1013095645,66
1013096064,41
1013098177,40
1013098177,67
1013100338,8
1013105527,16
1013109925,40
1013113679,66
1013115104,66
1013116441,2
1013119734,5
1013120120,30
1013132448,8
1013144187,77
1013146307,7
1013148246,17
1013148568,8
1013152511,40
1013152768,41
1013155092,20
1013159466,40
1013161843,36
1013162452,8
1013164243,2
1013168400,8
1013168483,41
1013169085,24
1013171339,13
1013171834,13
1013177690,26
1013178102,41
1013183342,8
1013183805,66
1013189646,67
1013193101,41
1013199868,7
1013201789,30
1013202738,8
1013209568,3
1013209568,41
1013223064,6
1013228261,20
1013229384,36
1013229707,41
1013231091,2
1013232537,7
1013233642,34
1013237064,26
1013250869,41
1013258730,18
1013270164,18
1013271337,5
1013274380,36
1013276484,16
1013277102,41
1013278647,16
1013297712,41
1013307479,4
1013329648,30
1013335199,41
1013335710,4
1013337781,36
1013342567,30
1013350818,20
1013352897,30
1013353804,18
1013370048,66
1013371343,7
1013379551,41
1013379692,41
1013387562,40
1013390533,20
1013394519,20
1013395979,41
1013396068,41
1013440320,41
1013448802,8
1013497213,2
1013497213,16
1013901644,66
1013905389,18
1013905389,41
1013905389,66
1013910983,22
1013915669,5
1013918119,1
1013925056,22
1013930791,40
1013931179,1
1013932045,34
1013932847,34
1013934546,5
1013934546,40
1013937218,83
1013938208,41
1013938745,16
1013938745,40
1013939008,41
1013941483,34
1013943588,40
1013945260,10
1013945260,41
1013952159,1
1013952654,40
1013953835,30
1013959501,5
1013960202,36
1013962885,14
1013963040,16
1013978428,41
1013991009,85
1013995174,2
1023003126,30
1023014164,1
1023016896,66
1023019460,66
1023024916,1
1023027158,8
1023027158,66
1023029162,4
1023031184,83
1023032133,2
1023036076,41
1023036076,67
1023037702,41
1023038700,34
1023039567,5
1023039948,30
1023039948,78
1023042496,34
1023043189,68
1023043387,41
1023046034,2
1023046034,5
1023046141,41
1023047669,41
